Address, Content, Pattern
0b00000011001000111,0b01111111,0xFF
0b00010011001000101,0b11110111,0xFF
0b10001001100010001,0b11111110,0xFF
0b10001001100010011,0b11011111,0xFF
0b10001001100110001,0b11101111,0xFF
0b10001001100110011,0b01111111,0xFF
0b10110010010011000,0b11011111,0xFF
0b10110010010011011,0b11101111,0xFF
0b10110110010011011,0b01111111,0xFF
